,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
412,train,eba,2,Conv2d-3,4,0.02734350852656774,100000.0
413,train,eba,2,Conv2d-4,6,0.055336570176783506,100000.0
414,train,eba,2,Conv2d-5,8,0.04935687063910073,100000.0
415,train,eba,2,ReLU-1,1,0.04209310453228991,100000.0
416,train,eba,2,ReLU-2,3,0.035982443465992886,10000.0
417,train,eba,2,ReLU-3,5,0.06186338682789869,1000.0
418,train,eba,2,ReLU-4,7,0.0776192117315779,1000.0
419,train,eba,2,ReLU-5,9,0.11462370461030473,10000.0
420,train,eba,3,Conv2d-1,0,0.03969581377765311,100000.0
421,train,eba,3,Conv2d-2,2,0.06312473932102358,100000.0
