,score_set,roi_name,subj_id,model_layer,model_layer_index,score
384,train,ppa,1,ResidualAttentionBlock-1,0,0.05061475222305319
385,train,ppa,1,ResidualAttentionBlock-11,5,0.05567685344800775
386,train,ppa,1,ResidualAttentionBlock-3,1,0.05420304948939505
387,train,ppa,1,ResidualAttentionBlock-5,2,0.06401934903722553
388,train,ppa,1,ResidualAttentionBlock-7,3,0.04669238338955708
389,train,ppa,1,ResidualAttentionBlock-9,4,0.04562405719011647
390,train,ppa,2,ResidualAttentionBlock-1,0,0.03858865914866884
391,train,ppa,2,ResidualAttentionBlock-11,5,0.04634423889354465
392,train,ppa,2,ResidualAttentionBlock-3,1,0.04064338153122339
393,train,ppa,2,ResidualAttentionBlock-5,2,0.054736906781112385
394,train,ppa,2,ResidualAttentionBlock-7,3,0.04164369344314198
395,train,ppa,2,ResidualAttentionBlock-9,4,0.04075567588349997
396,train,ppa,3,ResidualAttentionBlock-1,0,0.05085870611327633
397,train,ppa,3,ResidualAttentionBlock-11,5,0.05157072789269
398,train,ppa,3,ResidualAttentionBlock-3,1,0.04795642821405453
399,train,ppa,3,ResidualAttentionBlock-5,2,0.06282068375626546
400,train,ppa,3,ResidualAttentionBlock-7,3,0.03697470946253493
401,train,ppa,3,ResidualAttentionBlock-9,4,0.03357738519391117
402,train,ppa,4,ResidualAttentionBlock-1,0,0.06642788883266683
403,train,ppa,4,ResidualAttentionBlock-11,5,0.07018688680037148
404,train,ppa,4,ResidualAttentionBlock-3,1,0.0722305230970656
