,score_set,roi_name,subj_id,model_layer,model_layer_index,score
469,train,evc,3,ReLU-5,9,0.03726252461191325
470,train,evc,4,Conv2d-1,0,0.001608023752319362
471,train,evc,4,Conv2d-2,2,0.03538312279708453
472,train,evc,4,Conv2d-3,4,0.0525576520412399
473,train,evc,4,Conv2d-4,6,0.048981488802419634
474,train,evc,4,Conv2d-5,8,0.05092142802387435
475,train,evc,4,ReLU-1,1,0.04297658438698078
476,train,evc,4,ReLU-2,3,0.0895545125742304
477,train,evc,4,ReLU-3,5,0.05286258426415824
478,train,evc,4,ReLU-4,7,0.055205968890323275
479,train,evc,4,ReLU-5,9,0.036865242226181705
480,train,face,1,Conv2d-1,0,0.024099764338375282
481,train,face,1,Conv2d-2,2,0.016667927533835742
482,train,face,1,Conv2d-3,4,0.01279519260681464
483,train,face,1,Conv2d-4,6,0.03472512623214499
484,train,face,1,Conv2d-5,8,0.04182580051363796
485,train,face,1,ReLU-1,1,0.02832562082164139
486,train,face,1,ReLU-2,3,0.02940083251263395
487,train,face,1,ReLU-3,5,0.04230957411016302
488,train,face,1,ReLU-4,7,0.04693721320327354
489,train,face,1,ReLU-5,9,0.07394567793136292
490,train,face,2,Conv2d-1,0,0.004020058803560144
491,train,face,2,Conv2d-2,2,0.011111465938757295
492,train,face,2,Conv2d-3,4,0.004443181845431016
493,train,face,2,Conv2d-4,6,0.01811144151878014
494,train,face,2,Conv2d-5,8,0.00987375112267696
495,train,face,2,ReLU-1,1,0.01240944285846198
496,train,face,2,ReLU-2,3,0.006607990825832677
497,train,face,2,ReLU-3,5,0.028126701719455766
498,train,face,2,ReLU-4,7,0.020647776454250005
499,train,face,2,ReLU-5,9,0.05214581658103114
500,train,face,3,Conv2d-1,0,0.028647802171555575
