,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
329,train,ffa,3,ResidualAttentionBlock-9,4,0.11298410170837306,10000.0
330,train,ffa,4,ResidualAttentionBlock-1,0,0.02846605404646827,10000.0
331,train,ffa,4,ResidualAttentionBlock-11,5,0.04094858667472364,10000.0
332,train,ffa,4,ResidualAttentionBlock-3,1,0.024665847503458523,1000.0
333,train,ffa,4,ResidualAttentionBlock-5,2,0.03831076723226111,1000.0
334,train,ffa,4,ResidualAttentionBlock-7,3,0.01880433637082283,10000.0
335,train,ffa,4,ResidualAttentionBlock-9,4,0.018305827477946103,10000.0
336,train,loc,1,ResidualAttentionBlock-1,0,0.0525622930077021,10000.0
337,train,loc,1,ResidualAttentionBlock-11,5,0.049162537255262,10000.0
338,train,loc,1,ResidualAttentionBlock-3,1,0.04971903876082702,1000.0
339,train,loc,1,ResidualAttentionBlock-5,2,0.07214663718527475,1000.0
340,train,loc,1,ResidualAttentionBlock-7,3,0.0381856404606374,10000.0
341,train,loc,1,ResidualAttentionBlock-9,4,0.03773764649958234,10000.0
342,train,loc,2,ResidualAttentionBlock-1,0,0.04708242822087388,10000.0
343,train,loc,2,ResidualAttentionBlock-11,5,0.061652308118956646,10000.0
344,train,loc,2,ResidualAttentionBlock-3,1,0.06546423003898494,1000.0
345,train,loc,2,ResidualAttentionBlock-5,2,0.07946767271036133,1000.0
346,train,loc,2,ResidualAttentionBlock-7,3,0.046656644877940134,10000.0
347,train,loc,2,ResidualAttentionBlock-9,4,0.04005428818789976,10000.0
348,train,loc,3,ResidualAttentionBlock-1,0,0.05647715058022462,10000.0
349,train,loc,3,ResidualAttentionBlock-11,5,0.07949292450067899,10000.0
350,train,loc,3,ResidualAttentionBlock-3,1,0.07523722373465326,1000.0
351,train,loc,3,ResidualAttentionBlock-5,2,0.09292256959078264,1000.0
352,train,loc,3,ResidualAttentionBlock-7,3,0.0616728174025206,10000.0
